query_id	dada2_species	dada2_lineage
06073d4d5dff69e3268c56bc35428cbb	Veillonella dispar	39778 29465 31977 1843489 909932 1239 1783272 2 131567 
0756d82ea5efbc9a175461283dde3903	Streptococcus mitis	28037 1301 1300 186826 91061 1239 1783272 2 131567 
080f4998bd7a67086dcf3b67615ab5e7	Corynebacterium argentoratense	42817 1716 1653 85007 1760 201174 1783272 2 131567 
0a7387ba60364d307bc7243b75088f9f	Campylobacter concisus	199 194 72294 213849 29547 68525 1224 2 131567 
0b3fe55ee28806937a05b78a99561a8b	Bacteroides stercorirosoris	871324 816 815 171549 200643 976 68336 1783270 2 131567 
0b45b346e023c5a17f15ee85208a95f5	Streptococcus australis	113107 1301 1300 186826 91061 1239 1783272 2 131567 
0c4a5be949e14c28a07bfb1d9c59cc2b	Mobiluncus curtisii	2051 2050 2049 2037 1760 201174 1783272 2 131567 
0da0bb2d32f06f591a85e9a39092e8e3	Enterocloster bolteae	208479 2719313 186803 186802 186801 1239 1783272 2 131567 
0def3c9f9757f207d8caca1b50cc2ce1	Eubacterium limosum	1736 1730 186806 186802 186801 1239 1783272 2 131567 
116d07823b966725f4ce67771080d11b	Streptococcus mitis	28037 1301 1300 186826 91061 1239 1783272 2 131567 
134467cd5756487f60a41f72bcffa056	Phocaeicola coprocola	310298 909656 815 171549 200643 976 68336 1783270 2 131567 
14639d9be51c7318a19b911c4d7f947d	Limosilactobacillus fermentum	1613 2742598 33958 186826 91061 1239 1783272 2 131567 
17824498c6197c2669fffe55f682c72f	Prevotella timonensis	386414 838 171552 171549 200643 976 68336 1783270 2 131567 
18775903729440caf834a26d269eaae4	Streptococcus anginosus	1328 671232 1301 1300 186826 91061 1239 1783272 2 131567 
1a51d510c0bbd34e8df211fe064883a1	Cloacibacillus evryensis	508460 508459 649777 649776 649775 508458 2 131567 
1a7f394a200eecc8bd950a457b365e16	Campylobacter gracilis	824 194 72294 213849 29547 68525 1224 2 131567 
1bbbf39904d4f9c1fcbe02610b15e863	Blautia obeum	40520 572511 186803 186802 186801 1239 1783272 2 131567 
1c86c7a1c8b268241623a48bfd2da8bb	Peptostreptococcus stomatis	341694 1257 186804 186802 186801 1239 1783272 2 131567 
1dd6a379e954dc6dd2ecb948feb4fb95	Bacteroides fragilis	817 816 815 171549 200643 976 68336 1783270 2 131567 
1e7f1a61333203253fa6736ecc094c6f	Proteus vulgaris	585 583 1903414 91347 1236 1224 2 131567 
1f72610e7ac876bceca855023a15f4c2	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
2405f501f5aec1501e1a968d359540ef	Streptococcus oralis subsp. tigurinus	1077464 1303 1301 1300 186826 91061 1239 1783272 2 131567 
251b1de356ea040e5b739ae4b29867fd	Lactiplantibacillus plantarum	1590 2767842 33958 186826 91061 1239 1783272 2 131567 
26c19deac292ed5594853ab889fbe186	Streptococcus mutans	1309 1301 1300 186826 91061 1239 1783272 2 131567 
2721e0c17d57a4201163c7abb49ce9d7	Parvimonas micra	33033 543311 1570339 1737405 1737404 1239 1783272 2 131567 
295bb48b62625922424d1ca44c3899f3	Streptococcus parasanguinis	1318 1301 1300 186826 91061 1239 1783272 2 131567 
29d099e89c02f78ed604e88d8ac56996	Streptococcus anginosus	1328 671232 1301 1300 186826 91061 1239 1783272 2 131567 
2c855854b92139697b23c49564a76e00	Enterococcus gilvus	160453 1350 81852 186826 91061 1239 1783272 2 131567 
2dd44bd726d0882c27187994c004c754	Bacteroides thetaiotaomicron	818 816 815 171549 200643 976 68336 1783270 2 131567 
2e485f5e5494e3d085c710f9d9eebc54	Dialister invisus	218538 39948 31977 1843489 909932 1239 1783272 2 131567 
3256fa57fdfdb39f82123163843b85dd	Granulicatella adiacens	46124 117563 186828 186826 91061 1239 1783272 2 131567 
347843f660d909e491b7b99e87aaecef	Prevotella disiens	28130 838 171552 171549 200643 976 68336 1783270 2 131567 
347d1bb3d2385d31d229c332732292ec	Clostridioides difficile	1496 1870884 186804 186802 186801 1239 1783272 2 131567 
349fcd1b9e60d2df21181cb1c2f06583	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
34ee06acf1fb5535c340d9baf9c6e37e	Megasphaera micronuciformis	187326 906 31977 1843489 909932 1239 1783272 2 131567 
37051008cc1f1afb5cb1556fff6d15c1	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
37cc689a6b3be74adc56f97d6cade1c6	Blautia hydrogenotrophica	53443 572511 186803 186802 186801 1239 1783272 2 131567 
3908cb8bc8580ec34c733907f3bbbdd9	Collinsella aerofaciens	74426 102106 84107 84999 84998 201174 1783272 2 131567 
3d009c8602a2db8ceac1d5c4c338e398	Anaeroglobus geminatus	156456 156454 31977 1843489 909932 1239 1783272 2 131567 
3d589c92fb3344b8b9012b2384d93697	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
401859bfe6935ecffc54dfc10b507710	Streptococcus australis	113107 1301 1300 186826 91061 1239 1783272 2 131567 
4501dda1f25cc5acf433252d17f8cf40	Limosilactobacillus oris	1632 2742598 33958 186826 91061 1239 1783272 2 131567 
48662f3ef2f41e2c1fd9ce62f6ba81d1	Bacteroides eggerthii	28111 816 815 171549 200643 976 68336 1783270 2 131567 
4a934ca76f0c95a7e562b3078b94e3f8	Enterococcus faecium	1352 1350 81852 186826 91061 1239 1783272 2 131567 
4d7f52955682656e98589b33479a9db4	Granulicatella adiacens	46124 117563 186828 186826 91061 1239 1783272 2 131567 
50503f9578cdbe5967c44d357043cf6f	Streptococcus agalactiae	1311 1301 1300 186826 91061 1239 1783272 2 131567 
515078d5e0dfd75ffbf6b6e24e921d52	Streptococcus australis	113107 1301 1300 186826 91061 1239 1783272 2 131567 
51cf26e2a9ec00a62897f780669a245f	Citrobacter freundii	546 1344959 544 543 91347 1236 1224 2 131567 
51d486f2f797eadcd3c2cd4e6e0cbe17	Anaerococcus lactolyticus	33032 165779 1570339 1737405 1737404 1239 1783272 2 131567 
51f9db77b6c17a52c8de16a88db67535	Veillonella parvula	29466 29465 31977 1843489 909932 1239 1783272 2 131567 
52cdcafab1b5d9a2cc7bca8b9a02e81a	Lactococcus lactis	1358 1357 1300 186826 91061 1239 1783272 2 131567 
533f84262a0fb7561016f804f0208768	Eggerthia catenaformis	31973 1279384 2810280 526525 526524 1239 1783272 2 131567 
